laudo,linha_texto,secao_detectada,item_detectado,status_original,categoria_sugerida,prioridade_sugerida,observacao_extraida,responsavel,status_correcao,evidencia_correcao,data_limite,status_original_norm,escola_curta,is_open,disciplina_detectada,is_arquitetura,status_exibicao,tipo_trabalho,complexidade,dono_sugerido,pacote_entrega,acao_sugerida,esforco_score,tags_operacionais,o_que_fazer,como_no_revit,evidencia_esperada,imagem_preview_relpath,imagem_origem_pdf,imagem_origem_pagina,imagem_confianca,problema_resumo
001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,148,MATERIAL FASE CONFORME,3.2,NÃO,triagem_manual,P2,Memorial PROJ. 3.2 MEMORIAL NÃO descritivo BÁSICO,,aberto,,,NAO,SINOP - E E SANTA CECÍLIA,True,outros,false,desativado_nao_arquitetura,documental,E1 rápido,coordenação/documentação,documentos assinados,apresentar documento,1,documentos assinados,Juntar e anexar o documento faltante no pacote da disciplina com assinatura e identificação técnica.,"No Revit 2025: validar item na vista correspondente, corrigir modelo/prancha e reemitir PDF de revisão.",Prancha/PDF revisado com item rastreável e observação de fechamento.,assets/previews/001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS__p003.jpg,001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,3,alta,Memorial PROJ. 3.2 MEMORIAL NÃO descritivo BÁSICO
001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,177,MATERIAL FASE CONFORME,3.3,NÃO,documento_ausente,P1,PROJ. 3.3 Situação DESENHO NÃO Item não apresentado. BÁSICO 1. Adicionar níveis em circulações e espaços externos;,,aberto,,,NAO,SINOP - E E SANTA CECÍLIA,True,outros,false,desativado_nao_arquitetura,documental,E1 rápido,coordenação/documentação,documentos assinados,apresentar documento,2,documentos assinados,Juntar e anexar o documento faltante no pacote da disciplina com assinatura e identificação técnica.,"No Revit 2025: validar item na vista correspondente, corrigir modelo/prancha e reemitir PDF de revisão.",Prancha/PDF revisado com item rastreável e observação de fechamento.,assets/previews/001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS__p003.jpg,001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,3,alta,PROJ. 3.3 Situação DESENHO NÃO Item não apresentado. BÁSICO 1. Adicionar níveis em circulações e espaços externos;
001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,189,MATERIAL FASE CONFORME,3.4,NÃO,implantacao,P2,PROJ. 3.4 Implantação DESENHO NÃO BÁSICO,,aberto,,,NAO,SINOP - E E SANTA CECÍLIA,True,arquitetura,true,ativo_arquitetura,triagem,E1 rápido,arquitetura,implantação/topografia,triagem técnica,1,implantação/topografia,Fazer triagem técnica e definir ação objetiva para fechar o apontamento.,"No Revit 2025: abra a vista da prancha afetada, ajuste cotas/legenda/carimbo, valide em planta+corte e reexporte PDF da revisão.",Prancha/PDF revisado com item rastreável e observação de fechamento.,assets/previews/001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS__p003.jpg,001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,3,alta,PROJ. 3.4 Implantação DESENHO NÃO BÁSICO
001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,328,MATERIAL FASE CONFORME,3.5,NÃO,cobertura_quadra,P2,Planta de PROJ. 3.5 DESENHO NÃO cobertura BÁSICO,,aberto,,,NAO,SINOP - E E SANTA CECÍLIA,True,arquitetura,true,ativo_arquitetura,triagem,E1 rápido,arquitetura,cobertura/quadra,triagem técnica,1,cobertura/quadra,Fazer triagem técnica e definir ação objetiva para fechar o apontamento.,"No Revit 2025: abra a vista da prancha afetada, ajuste cotas/legenda/carimbo, valide em planta+corte e reexporte PDF da revisão.",Prancha/PDF revisado com item rastreável e observação de fechamento.,assets/previews/001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS__p006.jpg,001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,6,alta,Planta de PROJ. 3.5 DESENHO NÃO cobertura BÁSICO
001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,427,MATERIAL FASE CONFORME,3.6,NÃO,implantacao,P2,Plantas baixas e PROJ. 1. Implantação 3.6 DESENHO NÃO de layout BÁSICO 1.1 Garantir que acesso ao refeitório se dê por região coberta;,,aberto,,,NAO,SINOP - E E SANTA CECÍLIA,True,arquitetura,true,ativo_arquitetura,triagem,E1 rápido,arquitetura,implantação/topografia,triagem técnica,1,implantação/topografia,Fazer triagem técnica e definir ação objetiva para fechar o apontamento.,"No Revit 2025: abra a vista da prancha afetada, ajuste cotas/legenda/carimbo, valide em planta+corte e reexporte PDF da revisão.",Prancha/PDF revisado com item rastreável e observação de fechamento.,assets/previews/001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS__p007.jpg,001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,7,alta,Plantas baixas e PROJ. 1. Implantação 3.6 DESENHO NÃO de layout BÁSICO 1.1 Garantir que acesso ao refeitório se dê por região coberta;
001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,664,MATERIAL FASE CONFORME,3.7,NÃO,triagem_manual,P2,Cortes e PROJ. 3.7 DESENHO NÃO elevações BÁSICO,,aberto,,,NAO,SINOP - E E SANTA CECÍLIA,True,outros,false,desativado_nao_arquitetura,triagem,E1 rápido,arquitetura,triagem operacional,triagem técnica,1,triagem operacional,Fazer triagem técnica e definir ação objetiva para fechar o apontamento.,"No Revit 2025: validar item na vista correspondente, corrigir modelo/prancha e reemitir PDF de revisão.",Prancha/PDF revisado com item rastreável e observação de fechamento.,assets/previews/001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS__p011.jpg,001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,11,alta,Cortes e PROJ. 3.7 DESENHO NÃO elevações BÁSICO
001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,832,MATERIAL FASE CONFORME,3.8,N/A,triagem_manual,P3,PROJ. 3.8 Detalhamentos DESENHO N/A Deverá ser apresentado junto ao projeto executivo. EXECUTIVO Planta de PROJ. 3.9 demolição e DESENHO N/A Não se aplica.,,futuro_executivo_ou_nao_aplica,,,N/A,SINOP - E E SANTA CECÍLIA,False,outros,false,desativado_nao_arquitetura,triagem,E1 rápido,arquitetura,orçamento/executivo,triagem técnica,0,orçamento/executivo,Fazer triagem técnica e definir ação objetiva para fechar o apontamento.,"No Revit 2025: validar item na vista correspondente, corrigir modelo/prancha e reemitir PDF de revisão.",Prancha/PDF revisado com item rastreável e observação de fechamento.,assets/previews/001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS__p013.jpg,001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,13,alta,PROJ. 3.8 Detalhamentos DESENHO N/A Deverá ser apresentado junto ao projeto executivo. EXECUTIVO Planta de PROJ. 3.9 demolição e DESENHO N/A Não se aplica.
001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,836,MATERIAL FASE CONFORME,3.9,N/A,triagem_manual,P3,PROJ. 3.9 demolição e DESENHO N/A Não se aplica. BÁSICO construção PROJ. 3.10 Paisagismo DESENHO N/A Deverá ser apresentado junto ao projeto executivo.,,futuro_executivo_ou_nao_aplica,,,N/A,SINOP - E E SANTA CECÍLIA,False,arquitetura,true,ativo_arquitetura,triagem,E1 rápido,arquitetura,orçamento/executivo,triagem técnica,0,orçamento/executivo,Fazer triagem técnica e definir ação objetiva para fechar o apontamento.,"No Revit 2025: abra a vista da prancha afetada, ajuste cotas/legenda/carimbo, valide em planta+corte e reexporte PDF da revisão.",Prancha/PDF revisado com item rastreável e observação de fechamento.,assets/previews/001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS__p013.jpg,001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,13,alta,PROJ. 3.9 demolição e DESENHO N/A Não se aplica. BÁSICO construção PROJ. 3.10 Paisagismo DESENHO N/A Deverá ser apresentado junto ao projeto executivo.
001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,840,MATERIAL FASE CONFORME,3.10,N/A,implantacao,P3,PROJ. 3.10 Paisagismo DESENHO N/A Deverá ser apresentado junto ao projeto executivo. EXECUTIVO 1. Implantação 1.1 Qual tabela deverá ser seguida? As tabelas apresentadas possuem divergência de informações;,,futuro_executivo_ou_nao_aplica,,,N/A,SINOP - E E SANTA CECÍLIA,False,arquitetura,true,ativo_arquitetura,triagem,E1 rápido,arquitetura,implantação/topografia,triagem técnica,0,implantação/topografia;orçamento/executivo,Fazer triagem técnica e definir ação objetiva para fechar o apontamento.,"No Revit 2025: abra a vista da prancha afetada, ajuste cotas/legenda/carimbo, valide em planta+corte e reexporte PDF da revisão.",Prancha/PDF revisado com item rastreável e observação de fechamento.,assets/previews/001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS__p013.jpg,001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,13,alta,PROJ. 3.10 Paisagismo DESENHO N/A Deverá ser apresentado junto ao projeto executivo. EXECUTIVO 1. Implantação 1.1 Qual tabela deverá ser seguida? As tabelas apresentadas possuem divergência de informações;
001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,852,MATERIAL FASE CONFORME,3.11,NÃO,triagem_manual,P2,"PROJ. 3.11 observações, DESENHO NÃO BÁSICO indicações e",,aberto,,,NAO,SINOP - E E SANTA CECÍLIA,True,outros,false,desativado_nao_arquitetura,triagem,E1 rápido,arquitetura,triagem operacional,triagem técnica,1,triagem operacional,Fazer triagem técnica e definir ação objetiva para fechar o apontamento.,"No Revit 2025: validar item na vista correspondente, corrigir modelo/prancha e reemitir PDF de revisão.",Prancha/PDF revisado com item rastreável e observação de fechamento.,assets/previews/001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS__p014.jpg,001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,14,alta,"PROJ. 3.11 observações, DESENHO NÃO BÁSICO indicações e"
001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,893,MATERIAL FASE CONFORME,3.12,NÃO,grafico_prancha;orcamento,P2,PROJ. As pranchas estão com informação de “Etapa de projeto” como “Executivo”. Ajustar para 3.12 gráfica e DESENHO NÃO BÁSICO “Projeto Básico”. carimbos Planilha PROJ. 3.13 TABELA N/A Deverá ser apresentado junto ao projeto executivo.,,aberto,,,NAO,SINOP - E E SANTA CECÍLIA,True,arquitetura,true,ativo_arquitetura,gráfico/prancha,E1 rápido,arquitetura,orçamento/executivo,compatibilizar modelo,1,orçamento/executivo,"Compatibilizar elementos em conflito entre plantas, cortes e implantação antes da emissão.","No Revit 2025: abra a vista da prancha afetada, ajuste cotas/legenda/carimbo, valide em planta+corte e reexporte PDF da revisão.",Prancha/PDF revisado com item rastreável e observação de fechamento.,assets/previews/001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS__p014.jpg,001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,14,alta,PROJ. As pranchas estão com informação de “Etapa de projeto” como “Executivo”. Ajustar para 3.12 gráfica e DESENHO NÃO BÁSICO “Projeto Básico”. carimbos Planilha PROJ. 3.13 TABELA N/A Deverá ser apresentado junto ao projeto executivo.
001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,897,MATERIAL FASE CONFORME,3.13,N/A,acessibilidade;orcamento,P3,Planilha PROJ. 3.13 TABELA N/A Deverá ser apresentado junto ao projeto executivo. quantitativa EXECUTIVO 4 ACESSIBILIDADE MATERIAL FASE CONFORME OBSERVAÇÕES PROJ. 4.1 ART/RRT DOCUMENTO N/A Deverá ser apresentado junto ao projeto executivo.,,futuro_executivo_ou_nao_aplica,,,N/A,SINOP - E E SANTA CECÍLIA,False,arquitetura,true,ativo_arquitetura,documental,E3 alto,coordenação/documentação,documentos assinados,apresentar documento,0,documentos assinados;acessibilidade;orçamento/executivo,Juntar e anexar o documento faltante no pacote da disciplina com assinatura e identificação técnica.,"No Revit 2025: abra a vista da prancha afetada, ajuste cotas/legenda/carimbo, valide em planta+corte e reexporte PDF da revisão.",Prancha/PDF revisado com item rastreável e observação de fechamento.,assets/previews/001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS__p014.jpg,001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,14,alta,Planilha PROJ. 3.13 TABELA N/A Deverá ser apresentado junto ao projeto executivo. quantitativa EXECUTIVO 4 ACESSIBILIDADE MATERIAL FASE CONFORME OBSERVAÇÕES PROJ. 4.1 ART/RRT DOCUMENTO N/A Deverá ser apresentado junto ao projeto executivo.
001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,901,ACESSIBILIDADE MATERIAL FASE CONFORME,4.1,N/A,triagem_manual,P3,PROJ. 4.1 ART/RRT DOCUMENTO N/A Deverá ser apresentado junto ao projeto executivo. EXECUTIVO Memorial PROJ. 4.2 MEMORIAL SIM Em conformidade. descritivo BÁSICO,,futuro_executivo_ou_nao_aplica,,,N/A,SINOP - E E SANTA CECÍLIA,False,arquitetura,true,ativo_arquitetura,documental,E3 alto,coordenação/documentação,documentos assinados,apresentar documento,0,documentos assinados;acessibilidade;orçamento/executivo,Juntar e anexar o documento faltante no pacote da disciplina com assinatura e identificação técnica.,"No Revit 2025: abra a vista da prancha afetada, ajuste cotas/legenda/carimbo, valide em planta+corte e reexporte PDF da revisão.",Prancha/PDF revisado com item rastreável e observação de fechamento.,assets/previews/001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS__p014.jpg,001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,14,alta,PROJ. 4.1 ART/RRT DOCUMENTO N/A Deverá ser apresentado junto ao projeto executivo. EXECUTIVO Memorial PROJ. 4.2 MEMORIAL SIM Em conformidade. descritivo BÁSICO
001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,912,ACESSIBILIDADE MATERIAL FASE CONFORME,4.3,NÃO,triagem_manual,P2,PROJ. 4.3 Plantas gerais DESENHO NÃO BÁSICO,,aberto,,,NAO,SINOP - E E SANTA CECÍLIA,True,arquitetura,true,ativo_arquitetura,normativo,E3 alto,arquitetura,acessibilidade,revisar norma,3,acessibilidade,"Revisar item normativo aplicável, ajustar solução e atualizar referência técnica no memorial/prancha.","No Revit 2025: abra a vista da prancha afetada, ajuste cotas/legenda/carimbo, valide em planta+corte e reexporte PDF da revisão.",Prancha/PDF revisado com item rastreável e observação de fechamento.,assets/previews/001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS__p015.jpg,001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,15,alta,PROJ. 4.3 Plantas gerais DESENHO NÃO BÁSICO
001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,1015,ACESSIBILIDADE MATERIAL FASE CONFORME,4.6,NÃO,grafico_prancha;cotas_niveis;orcamento,P2,"PROJ. 4.6 gráfica e DESENHO NÃO 1. Se escala permitir, complementar cotas em Bloco Educacional; BÁSICO carimbos Planilha PROJ. 4.7 TABELA N/A Deverá ser apresentado junto ao projeto executivo.",,aberto,,,NAO,SINOP - E E SANTA CECÍLIA,True,arquitetura,true,ativo_arquitetura,gráfico/prancha,E3 alto,arquitetura,acessibilidade,corrigir prancha,1,acessibilidade;orçamento/executivo,"Ajustar prancha (carimbo, legenda, cotas, representação, mapa) e republicar revisão da folha.","No Revit 2025: abra a vista da prancha afetada, ajuste cotas/legenda/carimbo, valide em planta+corte e reexporte PDF da revisão.",Prancha/PDF revisado com item rastreável e observação de fechamento.,assets/previews/001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS__p016.jpg,001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,16,alta,"PROJ. 4.6 gráfica e DESENHO NÃO 1. Se escala permitir, complementar cotas em Bloco Educacional; BÁSICO carimbos Planilha PROJ. 4.7 TABELA N/A Deverá ser apresentado junto ao projeto executivo."
